bar num, offset
752, 15:00:844
753, 15:01:844
754, 15:02:844
755, 15:03:844
756, 15:04:844
757, 15:05:844
758, 15:06:844
759, 15:07:844
760, 15:08:844
761, 15:09:844
762, 15:10:844
763, 15:11:844
764, 15:12:844
765, 15:13:844
766, 15:14:844
767, 15:15:844
768, 15:16:844
769, 15:17:844
770, 15:18:844
771, 15:19:844
772, 15:20:844
773, 15:21:844
774, 15:22:844
775, 15:23:844
776, 15:24:844
777, 15:25:844
778, 15:26:844
779, 15:27:844
780, 15:28:844
781, 15:29:844
782, 15:30:844
783, 15:31:844
784, 15:32:844
785, 15:33:844
786, 15:34:844
787, 15:35:844
788, 15:36:844
789, 15:37:844
790, 15:38:844
791, 15:39:844
792, 15:40:844
793, 15:41:844
794, 15:42:844
795, 15:43:844
796, 15:44:844
797, 15:45:844
798, 15:46:844
799, 15:47:844
800, 15:48:844
801, 15:49:844
802, 15:50:844
803, 15:51:844
804, 15:52:844
805, 15:53:844
806, 15:54:844
807, 15:55:844
808, 15:56:844
809, 15:57:844
810, 15:58:844
811, 15:59:844
812, 16:00:844
813, 16:01:844
814, 16:02:844
815, 16:03:844
816, 16:04:844
817, 16:05:844
818, 16:06:844
819, 16:07:844
820, 16:08:844
821, 16:09:844
822, 16:10:844
823, 16:11:844
824, 16:12:844
825, 16:13:844
826, 16:14:844
827, 16:15:844
828, 16:16:844
829, 16:17:844
830, 16:18:844
831, 16:19:844
832, 16:20:844
833, 16:21:844
834, 16:22:844
835, 16:23:844
836, 16:24:844
837, 16:25:844
838, 16:26:844
839, 16:27:844
840, 16:28:844
841, 16:29:844
842, 16:30:844
843, 16:31:844
844, 16:32:844
845, 16:33:844
846, 16:34:844
847, 16:35:844
848, 16:36:844
849, 16:37:844
850, 16:38:844
851, 16:39:844
852, 16:40:844
853, 16:41:844
854, 16:42:844
855, 16:43:844
856, 16:44:844
857, 16:45:844
858, 16:46:844
859, 16:47:844
860, 16:48:844
861, 16:49:844
862, 16:50:844
863, 16:51:844
864, 16:52:844
865, 16:53:844
866, 16:54:844
867, 16:55:844
868, 16:56:844
869, 16:57:844
870, 16:58:844
871, 16:59:844
872, 17:00:844
873, 17:01:844
874, 17:02:844
875, 17:03:844
876, 17:04:844
877, 17:05:844
878, 17:06:844
879, 17:07:844
880, 17:08:844
881, 17:09:844
882, 17:10:844
883, 17:11:844
884, 17:12:844
885, 17:13:844
886, 17:14:844
887, 17:15:844
888, 17:16:844
889, 17:17:844
890, 17:18:844
891, 17:19:844
892, 17:20:844
893, 17:21:844
894, 17:22:844
895, 17:23:844
896, 17:24:844
897, 17:25:844
898, 17:26:844
899, 17:27:844
900, 17:28:844
901, 17:29:844
902, 17:30:844
903, 17:31:844
904, 17:32:844
905, 17:33:844
906, 17:34:844
907, 17:35:844
908, 17:36:844
909, 17:37:844
910, 17:38:844
911, 17:39:844
912, 17:40:844
913, 17:41:844
914, 17:42:844
915, 17:43:330
916, 17:44:888
917, 17:46:446
918, 17:48:005
919, 17:49:563
920, 17:51:122
921, 17:52:680
922, 17:54:239
923, 17:55:797
924, 17:57:355
925, 17:58:914
926, 18:00:472
927, 18:02:031
928, 18:03:589
929, 18:05:148
930, 18:06:706
931, 18:08:265
932, 18:09:823
933, 18:11:381
934, 18:12:940
935, 18:14:498
936, 18:16:057
937, 18:17:615
938, 18:19:174
939, 18:20:732
940, 18:22:291
941, 18:23:849
942, 18:25:407
943, 18:26:966
944, 18:28:524
945, 18:30:083
946, 18:31:641
947, 18:33:200
948, 18:34:758
949, 18:36:317
950, 18:37:875
951, 18:39:433
952, 18:40:992
953, 18:42:550
954, 18:44:109
955, 18:45:667
956, 18:47:226
957, 18:48:784
958, 18:50:342
959, 18:51:901
960, 18:53:459
961, 18:55:018
962, 18:56:576
963, 18:58:135
964, 18:59:693
965, 19:01:252
966, 19:02:810
967, 19:04:368
968, 19:05:927
969, 19:07:485
970, 19:09:044
971, 19:10:602
972, 19:12:161
973, 19:13:719
974, 19:15:278
975, 19:16:836
976, 19:18:394
977, 19:19:953
978, 19:21:511
979, 19:23:070
980, 19:24:628
981, 19:26:187
982, 19:27:745
983, 19:29:304
984, 19:30:862
